Date,SequenceNumber,PacketNumber,NodeId,SrcNodeId,LqiValue,RssiValues
1164977444953,3,14,8,11,-45,198
1164977444953,3,14,8,6,-44,224
1164977445015,0,13,18,15,-48,225
1164977445015,0,13,18,16,-48,199
1164977446015,1,13,18,19,-45,233
1164977449703,0,13,19,18,-43,235
1164977449703,0,13,19,20,-44,207
1164977450250,0,14,9,4,-42,217
1164977450250,0,14,9,11,-42,227
1164977451250,1,14,9,6,-39,234
1164977451250,1,14,9,8,-42,234
1164977452265,2,14,9,10,-49,198
1164977456015,0,14,10,14,-41,232
1164977456015,0,14,10,7,-44,217
1164977457015,1,14,10,11,-34,235
1164977457015,1,14,10,12,-46,224
1164977458015,2,14,10,8,-48,220
1164977458546,0,13,20,19,-49,205
1164977458546,0,13,20,17,-48,199
1164977459734,0,14,11,12,-45,230
1164977459734,0,14,11,8,-48,207
1164977460734,1,14,11,10,-39,235
1164977460734,1,14,11,9,-45,220
1164977461734,2,14,11,15,-47,228
1164977461734,2,14,11,14,-48,208
1164977465406,0,14,14,11,-45,208
1164977465406,0,14,14,10,-44,235
1164977466406,1,14,14,17,-48,199
1164977468250,0,15,2,3,-45,221
1164977468250,0,15,2,6,-45,202
1164977469265,0,14,15,13,-49,211
1164977469265,0,14,15,11,-41,224
1164977469265,1,15,2,8,-49,200
1164977469890,0,14,12,10,-47,217
1164977469890,0,14,12,13,-43,229
1164977470250,1,14,15,18,-46,221
1164977470250,1,14,15,17,-47,210
1164977470890,1,14,12,11,-42,214
1164977470890,1,14,12,17,-45,228
1164977471515,0,15,3,5,-50,202
1164977471515,0,15,3,7,-40,230
1164977472515,1,15,3,2,-48,214
1164977473359,0,14,16,18,-48,202
1164977473359,0,14,16,17,-37,235
1164977474359,1,14,16,13,-43,232
1164977475312,0,14,13,16,-42,234
1164977475312,0,14,13,12,-40,233
1164977476312,1,14,13,8,-49,205
1164977476312,1,14,13,17,-47,211
1164977477312,2,14,13,15,-50,208
1164977478046,0,14,17,15,-50,203
1164977478046,0,14,17,13,-49,208
1164977479062,1,14,17,16,-39,234
1164977479062,1,14,17,14,-48,204
1164977480062,2,14,17,12,-45,229
1164977484671,0,15,4,8,-40,236
1164977484671,0,15,4,9,-46,218
1164977485671,1,15,4,5,-47,228
1164977487546,0,15,5,4,-43,224
1164977488953,0,15,6,8,-47,220
1164977488953,0,15,6,9,-42,231
1164977489937,1,15,6,2,-49,204
1164977489937,1,15,6,7,-37,233
1164977493703,0,15,7,6,-38,232
1164977493703,0,15,7,8,-48,216
1164977494703,1,15,7,10,-49,200
1164977494703,1,15,7,3,-43,232
1164977495703,2,15,7,5,-49,202
1164977501953,0,15,8,10,-49,210
1164977501953,0,15,8,9,-43,230
1164977502953,1,15,8,5,-49,208
1164977502953,1,15,8,4,-37,234
1164977503953,2,15,8,7,-43,228
1164977503953,2,15,8,11,-45,205
1164977504953,3,15,8,6,-44,220
1164977505031,0,14,18,15,-47,228
1164977505031,0,14,18,20,-46,179
1164977506031,1,14,18,19,-45,232
1164977509703,0,14,19,18,-42,233
1164977509703,0,14,19,15,-50,196
1164977510265,0,15,9,4,-43,211
1164977510265,0,15,9,11,-41,224
1164977510718,1,14,19,20,-45,211
1164977511234,1,15,9,6,-39,232
1164977511234,1,15,9,8,-43,233
1164977512234,2,15,9,10,-49,203
1164977516015,0,15,10,9,-48,186
1164977516015,0,15,10,14,-42,232
1164977517062,1,15,10,7,-44,223
1164977517062,1,15,10,11,-34,235
1164977518015,2,15,10,12,-45,217
1164977518015,2,15,10,8,-48,212
1164977518546,0,14,20,19,-49,193
1164977518546,0,14,20,17,-47,211
1164977519734,0,15,11,12,-45,228
1164977519734,0,15,11,8,-48,211
1164977520734,1,15,11,10,-39,234
1164977520734,1,15,11,9,-45,215
1164977521734,2,15,11,15,-47,223
